country,year,population,rates of suicide per 100k,suicides/100k pop,HDI for year,gdp_for_year ($),gdp_per_capita ($),average annual hours worked
Australia,2000,1430700,13.3766653,32.57,0.838,415034227218.00,23219,1779.7
Australia,2001,1427829,13.556979,34.25,0.849,378215090694.00,20860,1746.4
Australia,2002,1433165,12.62380337,31.54,0.838,394486709920.00,21474,1741.9
Australia,2003,1437607,11.58639639,27.41,0.842,466294700058.00,25059,1734.9
Australia,2004,1441319,11.21214714,26.78,0.849,611904253806.00,32454,1733.64
Australia,2006,2894571,11.07840676,23.7,0.911,745521862833.00,39014,1721.7
Australia,2007,1470431,11.2949804,23.19,0.915,851962785585.00,43171,1722.6
Australia,2008,3015761,11.63500844,25.37,0.92,1052584601611.00,52315,1720.8
Australia,2009,3051649,11.38372017,24.74,0.921,926448240318.00,45128,1692.1
Australia,2010,3076853,11.60808032,26.52,0.923,1144260547873.00,54887,1699.7
Australia,2011,588053,11.45489086,24.83,0.925,1394280784778.00,66770,1699.2
Australia,2012,606842,12.14751662,26.04,0.929,1543411012580.00,72669,1691.9
Australia,2013,627275,12.07397346,25.51,0.931,1573696522007.00,72856,1689.6
Australia,2014,3130341,13.18430523,27.66,0.933,1464955475994.00,66809,1682.7
Australia,2015,3149299,13.61013112,29.97,0.936,1349034029453.00,60656,1682.9
Austria,2000,172839,20.91655336,99.51,0.838,196799778883.00,25922,1681
Austria,2001,180006,19.50341604,83.89,0.849,197337879195.00,25848,1669
Austria,2002,187295,20.21303208,99.84,0.838,213377771504.00,27772,1666
Austria,2003,193846,18.85513828,91.31,0.842,261695778781.00,33889,1658
Austria,2004,201792,18.29384783,93.66,0.849,300904221505.00,38711,1660
Austria,2005,210054,17.87297311,79.03,0.855,315974418605.00,40367,1638
Austria,2006,218168,16.48183586,78.38,0.861,335998557270.00,42698,1622
Austria,2007,225285,16.27144158,75.46,0.881,388691445387.00,49218,1612
Austria,2008,231083,15.98686125,86.55,0.884,430294287388.00,54294,1605
Austria,2009,235822,16.08175471,79.3,0.886,400172297861.00,50356,1564
Austria,2010,240431,15.86261569,74.87,0.895,391892746545.00,49181,1557
Austria,2011,245207,16.10977461,79.93,0.897,431120310089.00,53923,1562
Austria,2012,250032,15.88788631,75.59,0.899,409425234155.00,50979,1540
Austria,2013,255540,15.97848412,86.48,0.897,430068712972.00,53229,1525
Austria,2014,269625,16.14019615,76.4,0.901,441885415806.00,54278,1516
Austria,2015,290329,15.22011498,73.71,0.903,382065930308.00,46484,1500
Belgium,2000,261961,22.15210318,67.19,0.873,237904919845.00,24592,1595
Belgium,2001,271676,22.29647515,62.94,0.876,237841968680.00,24494,1588
Belgium,2002,280663,21.27360874,61.64,0.879,258860436665.00,26526,1583
Belgium,2003,289022,21.32776398,61.93,0.882,319002821670.00,32538,1578
Belgium,2004,297919,20.17664055,52.7,0.885,370885026074.00,37661,1573
Belgium,2005,308369,20.49285053,55.13,0.889,387365750529.00,39124,1565
Belgium,2006,319905,19.42244182,44.39,0.896,409813197842.00,41135,1572
Belgium,2007,331504,18.51396563,49.17,0.899,471821105940.00,47040,1577
Belgium,2008,341406,19.79041368,50.97,0.899,518625897173.00,51345,1570
Belgium,2009,349801,19.78696137,49.46,0.899,484552792442.00,47630,1548
Belgium,2010,354037,19.71370375,51.69,0.903,483548031197.00,47355,1546
Belgium,2011,361243,20.16392654,54.26,0.904,527008453887.00,50893,1560
Belgium,2012,369145,933081.564,51.74,0.905,497884216569.00,47678,1560
Belgium,2013,378864,18.00278525,48.3,0.908,520925468953.00,49489,1558
Belgium,2014,387814,17.95091488,48.22,0.909,530770977634.00,50173,1545
Belgium,2015,392775,17.57282983,45.06,0.913,455039563133.00,42830,1545
